,prime,target,target.RT,target_freq,bin,bin_index,mean_freq
0,abdomen,body,543.8709677419355,251.18864315095823,"(199.52623149688787, 295.1209226666384]",q16,247.32357708176315
1,abdomen,tear,751.3103448275862,22.38721138568338,"(17.78279410038923, 23.9883291901949]",q6,20.885561645292064
2,abduct,australia,733.2258064516129,114.81536214968817,"(112.2018454301963, 144.5439770745928]",q14,128.37291125239454
3,abduct,kidnap,678.1666666666666,3.019951720402016,"(2.7542287033381663, 5.011872336272725]",q1,3.8830505198054457
4,ability,capability,774.25,11.748975549395302,"(10.0, 13.182567385564074]",q4,11.591283692782037
5,ability,summary,703.0967741935484,23.442288153199225,"(17.78279410038923, 23.9883291901949]",q6,20.885561645292064
6,able,beam,679.4,13.803842646028839,"(13.182567385564074, 17.78279410038923]",q5,15.482680742976651
7,able,willing,833.8214285714286,52.48074602497723,"(46.77351412871981, 56.23413251903491]",q10,51.503823323877356
8,abnormal,insane,818.1935483870968,25.11886431509582,"(23.9883291901949, 29.51209226666384]",q7,26.75021072842937
9,abnormal,tighten,711.6428571428571,3.235936569296281,"(2.7542287033381663, 5.011872336272725]",q1,3.8830505198054457
10,above,below,665.59375,112.2018454301963,"(87.09635899560814, 112.2018454301963]",q13,99.64910221290222
11,above,property,662.5806451612904,128.82495516931348,"(112.2018454301963, 144.5439770745928]",q14,128.37291125239454
12,abstract,thought,594.939393939394,389.04514499428046,"(295.1209226666384, 18620.871366628657]",q17,9457.996144647648
13,abstract,unknown,669.7096774193549,33.884415613920275,"(29.51209226666384, 37.15352290971728]",q8,33.33280758819056
14,absurd,ridiculous,783.2666666666667,28.84031503126606,"(23.9883291901949, 29.51209226666384]",q7,26.75021072842937
15,absurd,satin,947.4642857142856,2.454708915685031,"(0.0, 2.7542287033381663]",q0,1.3771143516690831
16,abundance,cloth,742.0666666666667,10.71519305237607,"(10.0, 13.182567385564074]",q4,11.591283692782037
17,abundance,lots,611.0333333333333,75.85775750291836,"(70.79457843841374, 87.09635899560814]",q12,78.94546871701094
18,accelerate,drugs,580.4516129032259,58.88436553555884,"(56.23413251903491, 70.79457843841374]",q11,63.514355478724326
19,accelerate,speed,614.0322580645161,100.0,"(87.09635899560814, 112.2018454301963]",q13,99.64910221290222
20,accept,towel,605.6896551724138,8.709635899560805,"(7.244359600749899, 10.0]",q3,8.62217980037495
21,accept,understand,616.9333333333333,234.42288153199226,"(199.52623149688787, 295.1209226666384]",q16,247.32357708176315
22,accomplish,finish,617.9677419354839,81.28305161640995,"(70.79457843841374, 87.09635899560814]",q12,78.94546871701094
23,accomplish,gather,646.625,17.378008287493763,"(13.182567385564074, 17.78279410038923]",q5,15.482680742976651
24,accomplished,fantasy,658.8709677419355,33.11311214825908,"(29.51209226666384, 37.15352290971728]",q8,33.33280758819056
25,accomplished,finished,645.1333333333333,87.09635899560814,"(70.79457843841374, 87.09635899560814]",q12,78.94546871701094
26,account,bag,630.0,61.65950018614822,"(56.23413251903491, 70.79457843841374]",q11,63.514355478724326
27,account,for,811.9677419354839,10232.929922807536,"(295.1209226666384, 18620.871366628657]",q17,9457.996144647648
28,accumulate,broken,594.741935483871,75.85775750291836,"(70.79457843841374, 87.09635899560814]",q12,78.94546871701094
29,accumulate,gather,669.21875,17.378008287493763,"(13.182567385564074, 17.78279410038923]",q5,15.482680742976651
30,accurate,fish,648.9354838709677,79.43282347242821,"(70.79457843841374, 87.09635899560814]",q12,78.94546871701094
31,accurate,precise,756.5185185185185,13.489628825916533,"(13.182567385564074, 17.78279410038923]",q5,15.482680742976651
32,accuse,court,767.09375,257.03957827688646,"(199.52623149688787, 295.1209226666384]",q16,247.32357708176315
33,accuse,pants,807.5,30.199517204020193,"(29.51209226666384, 37.15352290971728]",q8,33.33280758819056
34,ace,length,623.4193548387096,58.88436553555884,"(56.23413251903491, 70.79457843841374]",q11,63.514355478724326
35,ace,poker,646.0,9.332543007969914,"(7.244359600749899, 10.0]",q3,8.62217980037495
36,achieve,math,578.03125,28.18382931264455,"(23.9883291901949, 29.51209226666384]",q7,26.75021072842937
37,achieve,succeed,612.1515151515151,19.498445997580454,"(17.78279410038923, 23.9883291901949]",q6,20.885561645292064
38,achievement,oyster,937.6923076923076,3.4673685045253166,"(2.7542287033381663, 5.011872336272725]",q1,3.8830505198054457
39,achievement,success,588.6774193548387,114.81536214968817,"(112.2018454301963, 144.5439770745928]",q14,128.37291125239454
40,acid,blow,663.6333333333333,38.904514499428046,"(37.15352290971728, 46.77351412871981]",q9,41.963518519218546
41,acid,drug,572.6666666666666,74.13102413009177,"(70.79457843841374, 87.09635899560814]",q12,78.94546871701094
